geracao,melhor_medio,pior_medio,media_populacional
557,6096.0000,6094.5333,6095.9453
558,6096.0000,6094.5333,6095.9493
559,6096.0000,6094.4667,6095.9453
560,6096.0000,6094.5333,6095.9413
561,6096.0000,6094.6667,6095.9520
562,6096.0000,6094.4000,6095.9413
563,6096.0000,6094.4000,6095.9440
564,6096.0000,6094.4667,6095.9480
565,6096.0000,6094.6000,6095.9333
566,6096.0000,6094.7333,6095.9600
567,6096.0000,6094.6000,6095.9480
568,6096.0000,6094.6667,6095.9547
569,6096.0000,6094.7333,6095.9600
570,6096.0000,6094.9333,6095.9640
571,6096.0000,6094.4000,6095.9533
572,6096.0000,6094.5333,6095.9480
573,6096.0000,6094.2667,6095.9467
574,6096.0000,6094.3333,6095.9413
575,6096.0000,6094.8000,6095.9653
576,6096.0000,6094.4000,6095.9467
577,6096.0000,6094.6667,6095.9587
578,6096.0000,6094.4000,6095.9360
579,6096.0000,6094.7333,6095.9533
580,6096.0000,6094.4667,6095.9413
581,6096.0000,6094.4667,6095.9480
582,6096.0000,6094.4000,6095.9573
583,6096.0000,6094.5333,6095.9387
584,6096.0000,6094.7333,6095.9587
585,6096.0000,6094.5333,6095.9520
586,6096.0000,6094.7333,6095.9560
587,6096.0000,6094.4667,6095.9467
588,6096.0000,6094.8000,6095.9493
589,6096.0000,6094.7333,6095.9573
590,6096.0000,6094.2000,6095.9320
591,6096.0000,6094.4000,6095.9427
592,6096.0000,6094.3333,6095.9307
593,6096.0000,6094.3333,6095.9347
594,6096.0000,6094.2667,6095.9373
595,6096.0000,6094.4000,6095.9360
596,6096.0000,6094.2000,6095.9373
597,6096.0000,6094.4667,6095.9347
598,6096.0000,6094.6667,6095.9427
599,6096.0000,6094.3333,6095.9507
600,6096.0000,6094.8000,6095.9547
601,6096.0000,6094.5333,6095.9480
602,6096.0000,6094.4000,6095.9360
603,6096.0000,6094.3333,6095.9307
604,6096.0000,6094.8000,6095.9667
605,6096.0000,6094.5333,6095.9347
606,6096.0000,6094.4667,6095.9467
607,6096.0000,6094.4000,6095.9400
608,6096.0000,6094.5333,6095.9427
609,6096.0000,6094.6667,6095.9560
610,6096.0000,6094.3333,6095.9413
611,6096.0000,6094.4000,6095.9333
612,6096.0000,6094.2667,6095.9373
613,6096.0000,6094.2667,6095.9267
614,6096.0000,6094.5333,6095.9440
615,6096.0000,6094.3333,6095.9307
616,6096.0000,6094.4000,6095.9467
617,6096.0000,6094.5333,6095.9533
